study,task_feature,questionnaire,n,r,t,p,ci_lower,ci_upper,p_bh
Study5,slope_hit_acc,MAIA_total,181,-0.04348291290447602,-0.5823124933466612,0.5610889554036452,-0.18814737690422617,0.10302828030462469,0.9574311391542774
Study5,slope_miss_dec,BARQ_total,172,0.0445141005382813,0.5809687442872372,0.5620309398164047,-0.10582520274121279,0.19286388314592887,0.9574311391542774
Study5,slope_miss_overall,MSES_selfdoubt,180,-0.042955223831356325,-0.5736236216739957,0.5669465734453993,-0.18803714599782367,0.10396125817635085,0.9574311391542774
Study5,arousal_salience_diff,BARQ_total,181,0.04213917693302737,0.5642849891092477,0.5732665686160017,-0.10436000855478646,0.18684850006858672,0.9574311391542774
Study5,thresh_direction_diff,PHQ4_Anxiety,181,0.0419400022161023,0.5616131330639429,0.5750821123832928,-0.10455735873586987,0.18665593151522983,0.9574311391542774
Study5,slope_hit_dec,MAIA_Noticing,181,0.04171316084528613,0.5585702206454626,0.5771531241704022,-0.10478210807925285,0.1864366004012585,0.9574311391542774
Study5,mean_arousal_overall,MAIA_Noticing,181,0.041361264892803326,0.5538499627961705,0.5803727336257072,-0.10513072908846724,0.18609632645969473,0.9574311391542774
Study5,conf_acc_r,BIPS_total,181,0.04118723775353857,0.5515156759800315,0.5819680415440944,-0.10530312332718846,0.1859280340550824,0.9574311391542774
Study5,thresh_salience_diff,BARQ_total,181,0.04101912350372421,0.5492607485637601,0.5835110724769681,-0.10546965179636085,0.1857654516269963,0.9574311391542774
Study5,slope_miss_dec,BIPS_total,172,0.04200334331275692,0.5481403437197774,0.5843145922779781,-0.10831183071288833,0.19044081339819188,0.9574311391542774
Study5,mean_Confidence,BARQ_total,181,-0.04028911756224437,-0.5394696706740338,0.5902332319984219,-0.1850593746858384,0.10619267648308768,0.9576618529731287
Study5,arousal_salience_diff,MAIA_SelfReg,181,0.040152299464124346,0.537634718456135,0.5914970268363442,-0.10632816891693891,0.18492702473968253,0.9576618529731287
Study5,mean_arousal_overall,MSES_selfdoubt,181,-0.03966518904208038,-0.5311020241863406,0.596006463278785,-0.18445577954434586,0.10681051545073084,0.959253005987157
Study5,slope_miss_overall,PHQ4_Anxiety,180,-0.03904410102138578,-0.5213107850465977,0.6027982723808268,-0.1842551882515648,0.1078350315882495,0.962396519053323
Study5,slope_miss_overall,PHQ4_Depression,180,-0.03862500072646868,-0.5157066167025971,0.6066992805409424,-0.18384967353852286,0.10824986527366272,0.962396519053323
Study5,mean_threshold,MAIA_Trusting,181,0.036465881452662,0.4882049486086452,0.6260021847369215,-0.10997682162228736,0.18135901825670422,0.962396519053323
Study5,mean_threshold,PHQ4_Anxiety,181,-0.036293897303962666,-0.48589938191357457,0.627632779397717,-0.18119246522869267,0.1101469475817042,0.962396519053323
Study5,arousal_conf_r,MAIA_NotWorrying,173,0.03700833768893633,0.4842785638867116,0.6288078609618709,-0.11281483471801974,0.18518605255442722,0.962396519053323
Study5,miss_rate,BARQ_total,181,-0.034395365784987475,-0.4604510780396184,0.6457513552872969,-0.17935333532357475,0.11202439654249906,0.962396519053323
Study5,slope_hit_dec,MAIA_AttentionReg,181,0.03431369696608436,0.4593564864715405,0.6465355558172218,-0.11210513501285434,0.17927419903776934,0.962396519053323
Study5,Awareness,PHQ4_Anxiety,181,-0.03356199911658115,-0.44928205371269464,0.6537717086576436,-0.17854572307590671,0.11284817895419842,0.962396519053323
Study5,arousal_conf_r,Alexithymia,173,-0.03401827444367294,-0.44510428306210104,0.65680731507943,-0.18229328650874607,0.11576956605707192,0.962396519053323
Study5,slope_hit_dec,MAIA_EmoAware,181,0.0329895476858644,0.4416104368572659,0.6593041393126446,-0.113413930230592,0.17799084951492636,0.962396519053323
Study5,mean_threshold,SPANE_Pos,181,-0.03291459313211195,-0.4406059776967729,0.6600299127516643,-0.17791818971097786,0.11348800046351555,0.962396519053323
Study5,thresh_salience_diff,MAIA_EmoAware,181,0.03286842839247475,0.4399873319224089,0.660477076792229,-0.11353361973742557,0.1778734375279713,0.962396519053323
Study5,thresh_direction_diff,MAIA_NotWorrying,181,0.032433884727576724,0.4341642242591027,0.664692057131903,-0.11396299874169699,0.17745216070803452,0.962396519053323
Study5,slope_hit_dec,SPANE_Neg,181,-0.03215859263953,-0.4304752970265565,0.6673677918617599,-0.17718524592798227,0.11423499061776814,0.962396519053323
Study5,thresh_direction_diff,BIPS_total,181,0.03182672571777232,0.4260283946000008,0.670598993844074,-0.11456284993344851,0.17686344955755975,0.962396519053323
Study5,slope_hit_overall,SPANE_Neg,181,0.03177807288963511,0.42537647535357337,0.6710732090760887,-0.11461091255266835,0.17681627050046758,0.962396519053323
Study5,thresh_direction_diff,PHQ4_Depression,181,0.031398546018232276,0.42029114230852904,0.6747768741262711,-0.11498581184930438,0.1764482172177842,0.962396519053323
Study5,Awareness,BIPS_total,181,0.030719612414093565,0.41119446953044086,0.6814218160976353,-0.11565636320460555,0.17578970746079106,0.962396519053323
Study5,thresh_salience_diff,SPANE_Pos,181,-0.030492778913943294,-0.4081553748560567,0.6836474133524495,-0.17556966868411736,0.11588036644347614,0.962396519053323
Study5,slope_hit_overall,PHQ4_Anxiety,181,0.02989854788898353,0.4001942195044953,0.689490659239068,-0.11646711250737726,0.1749931689227507,0.962396519053323
Study5,slope_miss_dec,MAIA_NotDistracting,172,0.03041534297630674,0.39675111249034345,0.6920486159340107,-0.11976414383074181,0.1792340346090036,0.962396519053323
Study5,slope_hit_acc,Alexithymia,181,-0.029528998536447106,-0.39524343086121955,0.6931338547164958,-0.17463459637277176,0.11683195548256504,0.962396519053323
Study5,slope_hit_overall,BIPS_total,181,0.029469462165326425,0.3944458476385492,0.6937214542545214,-0.11689072993666151,0.17457682482311013,0.962396519053323
Study5,slope_hit_acc,PHQ4_Depression,181,0.02935837086589941,0.3929576163866903,0.6948183679403385,-0.1170003968034708,0.17446902390335267,0.962396519053323
Study5,miss_rate,MAIA_NotWorrying,181,-0.028769015101215423,-0.38506257202666927,0.7006482109741611,-0.17389706590483486,0.1175821360522315,0.962396519053323
Study5,slope_hit_overall,Alexithymia,181,0.028644550835291917,0.38339529310620263,0.7018816510729443,-0.11770497896419585,0.173776263296783,0.962396519053323
Study5,arousal_conf_r,PHQ4_Depression,173,0.02861792571269457,0.3743812763185795,0.7085845141594054,-0.12109939268779304,0.17706215346216903,0.962396519053323
Study5,slope_miss_dec,MAIA_EmoAware,172,-0.02864908598766942,-0.3736917695568351,0.7090992689058466,-0.17752248511513805,0.12150621608495121,0.962396519053323
