study,task_feature,questionnaire,n_s4,r_s4,t,p_s4,ci_lower,ci_upper,p_bh_s4,r_s5,p_s5,p_bh_s5,n_s5,same_direction,replicated,sig_s4,sig_s5
Study4,conf_acc_r,MAIA_NotDistracting,62,0.08706648723060584,0.676984958524766,0.5010173573556548,-0.1663185518859536,0.32966563594998904,0.9903863843384291,0.05441553727235469,0.46688696547367925,0.9294617953781013,181,TRUE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_SelfReg,63,0.08632000511806948,0.6767066248922488,0.5011502213533816,-0.16497332524218183,0.3270895479836375,0.9903863843384291,-0.026251610591545457,0.7264821080225743,0.962396519053323,180,FALSE,FALSE,FALSE,FALSE
Study4,slope_miss_overall,MAIA_EmoAware,63,0.08488958798056163,0.6654107675473251,0.5082960817908767,-0.16637475033450108,0.3258021315918517,0.9903863843384291,-0.0102995460312652,0.8908538479925254,0.9886804325011017,180,FALSE,FALSE,FALSE,FALSE
Study4,arousal_conf_r,MAIA_total,61,-0.08556151361022954,-0.6596293900827171,0.5120584110151737,-0.3302662812844876,0.16992035720093007,0.9903863843384291,-0.0056387982208920325,0.9413050242798497,0.9962431358547761,173,TRUE,FALSE,FALSE,FALSE
Study4,conf_acc_r,BARQ_total,62,0.08329638247871572,0.6474610493358917,0.5198033077108716,-0.17000881758758252,0.3262764724261662,0.9903863843384291,0.01425483603744515,0.8489485189023696,0.9784491404298497,181,TRUE,FALSE,FALSE,FALSE
Study4,thresh_salience_diff,MAIA_BodyListen,62,-0.08310752810298627,-0.645982866998931,0.5207535700891741,-0.3261065359291352,0.1701934859537153,0.9903863843384291,-0.09848109454922693,0.1871835188161582,0.6573561424781281,181,TRUE,FALSE,FALSE,FALSE
Study4,arousal_conf_r,MAIA_EmoAware,61,0.08375962151080737,0.6456386420529385,0.521016582061459,-0.17168231114722396,0.3286483743218862,0.9903863843384291,0.051226058201827476,0.5032858455025194,0.9572989508859111,173,TRUE,FALSE,FALSE,FALSE
Study4,mean_threshold,PHQ4_Anxiety,63,-0.08223725753660836,-0.6444764976360291,0.5216827474307502,-0.32341259167360775,0.16897063940411747,0.9903863843384291,-0.036293897303962666,0.627632779397717,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,mean_threshold,SPANE_Pos,63,-0.0819264024030254,-0.6420238968679401,0.5232631700830788,-0.3231323342691966,0.1692746515728863,0.9903863843384291,-0.03291459313211195,0.6600299127516643,0.962396519053323,181,TRUE,FALSE,FALSE,FALSE
Study4,arousal_salience_diff,MAIA_NotDistracting,63,0.08173202854088006,0.6404904119090546,0.5242526048726857,-0.16946472232638485,0.3229570712868702,0.9903863843384291,-0.09634609731525899,0.19697164954279284,0.6697036084454956,181,FALSE,FALSE,FALSE,FALSE
Study4,thresh_salience_diff,SPANE_Neg,62,-0.0802290545278402,-0.6234613405845487,0.5353443894710833,-0.3235144587997884,0.17300595689063206,0.9903863843384291,0.010949079869235729,0.8836935316875142,0.9851009861434583,181,FALSE,FALSE,FALSE,FALSE
Study4,miss_rate,MAIA_AttentionReg,63,0.07913611830832196,0.6200173285786859,0.5375557395303072,-0.17200137348593425,0.32061480442978085,0.9903863843384291,-0.009612467129728165,0.8978090692197505,0.9886804325011017,181,FALSE,FALSE,FALSE,FALSE
